"id","name","number_of_seasons","number_of_episodes","original_language","vote_average","overview","adult","first_air_date","last_air_date","homepage","in_production","popularity","type","status","tagline","genres","created_by","languages","networks","origin_country","spoken_languages","production_companies","production_countries","episode_run_time"
94388,Gibiate,1,12,ja,7.2,"In 2030, Japan. A virus has infected humans throughout the world. Infected people turn into different forms of monsters based on their ages, sexes and races. The virus is named 'Gibia' - after being rich in variety like gibia. Just then, a pair of samurai and ninja appeared in such a blighted wasteland of Japan. They both traveled from the early Edo period, fighting together with help from a doctor who tries to find cure for Gibia. Facing ceaseless attacks from Gibias, and outlaws that attack travelers for food, they start the dangerous journey with enemies all around.",False,"2020-07-15","2020-09-30",https://gibiate.com/,False,5.865,Scripted,Ended,"","Animation, Action & Adventure","",ja,"Tokyo MX, BS Fuji, AT-X, Hulu, Prime Video, d Anime Store, Bandai Channel",JP,日本語,"l-a-unch・BOX, Studio Elle",Japan,24
68558,Apocalypse: The Rise of Hitler,1,2,fr,7.7780000000000005,"Adolf Hitler (1889-1945) was a mediocre who rose to power because of the blindness and ignorance of the Germans, who believed he was nothing more than an eccentric dreamer. But when the crisis of 1929 devastated the economy, the population, fearful of chaos and communism, voted for him. And no one defended democracy. As the dictatorship extended its relentless shadow, the leader claimed peace, but was preparing the Apocalypse.",False,"2011-10-25","2011-10-25",https://www.france.tv/france-5/apocalypse-hitler/,False,4.746,Miniseries,Ended,"","Documentary, War & Politics","Isabelle Clarke, Daniel Costelle","de, fr",France 2,FR,"Deutsch, Français","CC&C – Clarke Costelle et Cie, RTBF, France Télévisions, TV5 Québec Canada, TV5 Monde, National Geographic Channels International, SVT, Planète+","Belgium, Canada, France, Sweden",55
155427,Reboot,1,8,en,7.144,"When Hulu reboots an early 2000s family sitcom, its dysfunctional cast is forced back together and now must deal with their unresolved issues in today’s fast-changing world.",False,"2022-09-20","2022-10-25",https://www.hulu.com/series/reboot-e8c26c94-e813-4160-b36e-1b367ebcebe8,False,10.697999999999999,Scripted,Canceled,Same cast. Next stage.,Comedy,Steven Levitan,en,Hulu,US,English,"20th Television, Steven Levitan Prods",United States of America,0
98491,The Millionaire Detective – Balance: UNLIMITED,1,11,ja,6.833,"The story centers around millionaire Daisuke Kambe, the heir to one of the wealthiest families in Japan, who is assigned as a detective to the Modern Crime Prevention Task Force (aka MCPTF), at the Tokyo Metropolitan Police Department. Taking full advantage of his vast family wealth, he spares no expense in solving complex crimes, and has the tendency to evaluate everything including individual human lives in terms of their monetary value. Haru Kato, a detective with a compassionate heart who believes that money isn’t everything, is chosen as Kambe’s partner but is repulsed by his materialistic attitude. Having diametrically opposing personalities, witness how the two join forces to tackle seemingly unsolvable crimes and mysteries!",False,"2020-04-10","2020-09-25",https://www.fugoukeiji-bul.com/,False,8.870000000000001,Scripted,Ended,"","Animation, Crime, Mystery","",ja,"Fuji TV, Iwate Menkoi Television, SAGA TV, Sakuranbo TV, Fukushima TV",JP,日本語,"CloverWorks, Fuji Television Network, Aniplex, Animax Broadcast Japan, movic, dentsu, Sonilude",Japan,23
10100,"Denver, the Last Dinosaur",2,50,en,6.356,"Filled with magic, warmth and friendship, join the adventures of a fun-loving dinosaur and his group of ingenious young friends: Jeremy, Mario, Wally, Heather, Casey and Shades. Pursued by fortune seekers, Denver always finds himself in the middle of unexpected adventures!",False,"1988-09-12","1988-11-22","",False,105.98299999999999,Scripted,Ended,"","Animation, Action & Adventure",Peter Keefe,en,Syndication,US,English,"",United States of America,22
123232,Criminal el Vengador,1,15,es,7.1,"",False,"2006-10-08","2006-11-26","",True,3.6160000000000005,Scripted,Returning Series,"",Drama,"Diego Mejía, Germán Porras","",Caracol TV,"","","","",0
220538,War Sailor,1,3,no,8.189,"When WWII erupts, two sailors on a Norwegian merchant ship face brutal conditions as they fight to survive a conflict they were never asked to join. Based on true stories of Norwegian merchant sailors and their families during and after World War II.",False,"2023-04-02","2023-04-02",https://www.netflix.com/title/81643922,False,18.617,Miniseries,Ended,"",Drama,Gunnar Vikene,"en, no, de",Netflix,NO,"English, Norsk, Deutsch","Mer Film AS, Studio Hamburg, Falkun Films, Rohfilm Factory, Zweidorff Studio","Germany, Malta, Norway",60
90274,The Alcàsser Murders,1,5,es,7.167,New interviews and an up-to-date analysis of evidence shed light on the 1992 murders of three girls in Spain and their profound impact on the nation.,False,"2019-06-14","2019-06-14",https://www.netflix.com/title/80213115,False,4.821,Miniseries,Ended,"","Documentary, Crime",Ramón Campos,"ca, es",Netflix,ES,"Català, Español",Bambú Producciones,Spain,60
94904,My Next Life as a Villainess: All Routes Lead to Doom!,2,24,ja,7.5,"Wealthy heiress Catarina Claes is hit in the head with a rock and recovers the memories of her past life. It turns out the world she lives in is the world of the game Fortune Lover, an otome game she was obsessed with in her past life... but she's been cast as the villain character who tries to foil the protagonist's romances!",False,"2020-04-05","2021-09-17",https://hamehura-anime.com,False,29.658000000000005,Scripted,Ended,"","Animation, Comedy, Drama, Sci-Fi & Fantasy","",ja,MBS,JP,日本語,"SILVER LINK., Nichion",Japan,24
121241,The Girl from Oslo,1,10,no,6.957000000000001,"When her daughter is abducted, a Norwegian diplomat travels to the Middle East, banking on old friends — and a deep secret — to help free her.",False,"2021-04-11","2021-06-06",https://sumo.tv2.no/programmer/serier/bortfoert,True,4.763,Scripted,Returning Series,"",Drama,"Kyrre Holm Tønne Johannessen, Ronit Weiss-Berkowitz","ar, en, he, no, es",TV 2 Play,NO,"العربية, English, עִבְרִית, Norsk, Español","",Norway,33
721,Extreme Makeover: Home Edition,9,199,en,6.633,"Extreme Makeover: Home Edition is an American reality television series providing home improvements for less fortunate families and community schools. The show is hosted by former model, carpenter and veteran television personality Ty Pennington.

Each episode features a family that has faced some sort of recent or ongoing hardship such as a natural disaster or a family member with a life-threatening illness, in need of new hope. The show's producers coordinate with a local construction contractor, which then coordinates with various companies in the building trades for a makeover of the family's home. This includes interior, exterior and landscaping, performed in seven days while the family is on vacation and documented in the episode. If the house is beyond repair, they replace it entirely. The show's producers and crew film set and perform the makeover but do not pay for it. The materials and labor are donated. Many skilled and unskilled volunteers assist in the rapid construction of the house.

EM:HE is considered a spinoff of Extreme Makeover, an earlier series providing personal makeovers to selected individuals, which the Home Edition has now outlasted. This show displays extreme changes to help recreate someone's space. However, the format differs considerably; in the original Extreme Makeover, for instance, participants were not necessarily chosen based on any recent hardship, whereas the family's backstory is an important component of Home Edition. EM:HE also has similarities to other home renovation series such as Trading Spaces, on which Pennington was previously a key personality.",False,"2003-12-03","2012-01-13",http://www.abc.go.com/primetime/xtremehome/,False,40.893,Reality,Ended,"",Reality,"",en,ABC,US,English,"","",60
7525,Eleventh Hour,1,18,en,6.784000000000001,Dr. Jacob Hood is a brilliant biophysicist and special science advisor to the government who investigates scientific crises and oddities. His crusade is to protect the substance of science against those who would abuse and misuse scientific discoveries for their own gain.,False,"2008-10-09","2009-04-02",http://www.cbs.com/primetime/eleventh_hour/,False,10.386,Scripted,Canceled,"","Drama, Mystery, Crime, Sci-Fi & Fantasy",Stephen Gallagher,en,CBS,US,English,"Granada Television International, Warner Bros. Television, Jerry Bruckheimer Television",United States of America,43
39354,Up All Night,2,35,en,6.1,"An irreverent look at parenthood through the point of view of an acerbic working mother, along with her stay-at-home husband and opinionated parents.",False,"2011-09-14","2013-01-10",http://www.nbc.com/up-all-night/,False,72.208,Scripted,Ended,"",Comedy,"Lorne Michaels, Emily Spivey",en,NBC,US,English,"Broadway Video, Universal Media Studios",United States of America,22
202213,"History of the World, Part II",1,8,en,5.489,Explore different periods of human history through a variety of sketches.,False,"2023-03-06","2023-03-09",https://www.hulu.com/series/history-of-the-world-part-ii-6c9bcf68-0c93-497a-aa4f-d5215faa9860,False,15.562999999999999,Miniseries,Ended,Hysterically accurate.,Comedy,Mel Brooks,en,Hulu,US,English,"Searchlight Television, 20th Television, Brooksfilms Ltd.",United States of America,0
11577,The Big Valley,4,112,en,5.92,"The Big Valley is an American western television series which ran on ABC from September 15, 1965, to May 19, 1969. The show stars Barbara Stanwyck, as the widow of a wealthy nineteenth century California rancher. It was created by A.I. Bezzerides and Louis F. Edelman, and produced by Levy-Gardner-Laven for Four Star Television.",False,"1965-09-15","1969-05-19","",False,203.407,Scripted,Ended,"",Western,"A.I. Bezzerides, Louis F. Edelman",en,ABC,US,English,"","",50
4033,The Jerry Springer Show,18,273,en,4.2,"The Jerry Springer Show is a syndicated television tabloid talk show hosted by Jerry Springer, a former politician, broadcast in the United States and other countries. It is videotaped at the Stamford Media Center in Stamford, Connecticut and is distributed by NBC Universal Television Distribution, although it is not currently broadcast on any NBC-owned stations.",False,"1991-01-01","2012-05-07",http://www.jerryspringertv.com/,True,135.456,Talk Show,Returning Series,"",Talk,"",en,Syndication,US,English,"NBCUniversal, Stamford Media Center Productions, Richard Dominick Productions","",60
11436,Bigg Boss,16,967,hi,3.967,"The Indian version of the reality show where a number of contestants (known as ""housemates"") live in a purpose-built house and are isolated from the rest of the world. Each week, housemates nominate two of their fellow housemates for eviction, and the housemates who receive the most nominations faces a public vote out.",False,"2006-11-03","2022-12-25",https://www.voot.com/shows/bigg-boss,True,0.6,Reality,Returning Series,"",Reality,"","en, hi","Sony Entertainment Television, Colors",IN,"English, हिन्दी",Endemol Shine India,India,60
206085,"Argentine National Team, Road to Qatar",1,6,es,7.886,"Argentina National Football Team is getting ready for the World Cup and opens the door to behind-the-scenes. The qualifiers, the Copa América, the Finalissima and match preparation for Qatar as never seen before.",False,"2022-07-22","2022-11-18",http://www.primevideo.com/detail/0I88C4EAFE6UUC0QZMUYQO4GGU/,False,6.470000000000001,Miniseries,Ended,"",Documentary,Gonzalo Arias,es,Prime Video,AR,Español,"GM Comunicación, El Nueve, Grupo Octubre, Radio y Televisión Argentina, HDArgentina, Ildelve Producción, Tronito Producciones, Información Periodística",Argentina,60
2933,The Riches,2,20,en,7.193,A family of crooks assume the identity of an upper-middle-class suburban clan in the Deep South.,False,"2007-03-12","2008-04-29","",False,9.53,Scripted,Ended,It's a wonderful lie,"Drama, Comedy",Dmitry Lipkin,en,FX,US,English,"Maverick Films, Fox Television Studios",United States of America,45
34102,Planetes,1,26,ja,8.1,"In the year 2075, mankind has reached a point where journeying between Earth, the moon and the space stations is part of daily life. However, the progression of technology in space has also resulted in the problem of the space debris, which can cause excessive and even catastrophic damage to spacecrafts and equipment.",False,"2003-10-04","2004-04-17",http://www.planet-es.net/,False,10.560999999999998,Scripted,Ended,"","Animation, Sci-Fi & Fantasy","",ja,NHK BS2,JP,日本語,SUNRISE,Japan,25
31832,The X Factor,3,79,en,5.0,"The X Factor was a singing competition on a mission to find America’s next undiscovered superstar. The X Factor, on FOX is going to give someone like you the chance to win a $5 million recording contract with Sony Music. What’s great about The X Factor is that it is open to anyone – vocal groups and solo singers, over the age of 12 – and there’s absolutely no upper age limit.",False,"2011-09-21","2013-12-19",http://www.thexfactorusa.com,False,108.14299999999999,Reality,Canceled,"",Reality,"",en,FOX,US,English,"","",0
86197,El Barón,1,60,es,6.9,"The story of Nacho Montero, a young Mexican rebel, dreamer and visionary who changed the world of drug trafficking.",False,"2019-01-30","2019-04-22",https://www.telemundo.com/super-series/el-baron,True,11.478,Scripted,Returning Series,"",Drama,"",es,Telemundo,"CO, US",Español,Sony Pictures Television Studios,United States of America,45
